node_id,ip_address,timestamp,latency_ms,throughput_mbps,total_storage_gb,free_storage_gb,latitude,longitude,distance_km,region
dc1,10.0.0.2,2025-08-17 04:06:06,42.23,65.3,1000,462.8,53.33501670745578,-5.900810712321147,23.92,dublin_area
dc2,10.0.0.3,2025-08-17 04:06:06,37.14,34.1,1000,450.6,52.890063119771206,-6.375712849359891,51.7,dublin_area
dc3,10.0.0.4,2025-08-17 04:06:06,7.4,63.8,1000,515.8,53.515681639419874,-5.8097595842834355,35.09,dublin_area
dc4,10.0.0.5,2025-08-17 04:06:06,23.27,50.1,1000,548.9,53.07508971728338,-6.06278863939749,33.26,dublin_area
dc5,10.0.0.6,2025-08-17 04:06:06,12.59,49.0,1000,457.2,52.996982474172086,-6.590116481417973,44.97,dublin_area
dc6,10.0.0.7,2025-08-17 04:06:06,42.49,44.0,1000,509.8,53.11112157972923,-5.778085331279729,41.65,dublin_area
dc7,10.0.0.8,2025-08-17 04:06:06,18.82,63.9,1000,496.8,53.505305099415224,-6.622433014145267,29.57,dublin_area
dc8,10.0.0.9,2025-08-17 04:06:06,8.76,64.5,1000,524.5,52.92695593667625,-6.088191923159958,48.4,dublin_area
dc9,10.0.0.10,2025-08-17 04:06:06,42.31,34.4,1000,461.5,53.752075331921745,-5.861124770826043,51.93,dublin_area
dc10,10.0.0.11,2025-08-17 04:06:06,45.26,37.6,1000,547.5,53.262753029831536,-6.556567571102359,21.94,dublin_area
dc11,10.0.0.12,2025-08-17 04:06:06,21.27,65.2,1000,467.9,53.491194089472835,-5.980862776573718,24.29,dublin_area
dc12,10.0.0.13,2025-08-17 04:06:06,8.36,33.4,1000,498.1,53.23805198062977,-6.298578529053181,12.68,dublin_area
dc13,10.0.0.14,2025-08-17 04:06:06,17.21,65.0,1000,549.5,53.318133014025314,-6.509509661695568,16.92,dublin_area
dc14,10.0.0.15,2025-08-17 04:06:06,33.34,50.4,1000,465.2,53.6717269942755,-5.775586655517564,48.05,dublin_area
dc15,10.0.0.16,2025-08-17 04:06:06,9.22,54.5,1000,536.2,53.78440658426427,-6.302851515635879,48.41,dublin_area
dc16,10.0.0.17,2025-08-17 04:06:06,46.84,67.2,1000,463.1,53.12733969296128,-6.754350772507035,41.14,dublin_area
dc17,10.0.0.18,2025-08-17 04:06:06,50.66,55.0,1000,536.1,53.39793483948307,-6.110172296421142,11.31,dublin_area
dc18,10.0.0.19,2025-08-17 04:06:06,47.46,38.5,1000,467.2,53.27301744650356,-6.482100857261041,17.03,dublin_area
dc19,10.0.0.20,2025-08-17 04:06:06,43.44,47.3,1000,490.3,53.248899130418174,-6.392200132637564,14.24,dublin_area
dc20,10.0.0.21,2025-08-17 04:06:06,15.23,31.8,1000,481.0,53.35110906778086,-6.232107137316452,1.88,dublin_area
dc21,10.0.0.22,2025-08-17 04:06:06,15.54,65.5,1000,476.9,53.3610086485085,-6.342104590965828,5.57,dublin_area
dc22,10.0.0.23,2025-08-17 04:06:06,26.91,32.4,1000,475.2,53.139874196658134,-6.743414229583692,39.73,dublin_area
dc23,10.0.0.24,2025-08-17 04:06:06,39.44,56.7,1000,488.2,53.69670519147581,-6.434149948038269,40.25,dublin_area
dc24,10.0.0.25,2025-08-17 04:06:06,8.67,44.6,1000,491.0,53.110112045824074,-6.3337512266322635,27.1,dublin_area
dc25,10.0.0.26,2025-08-17 04:06:06,12.37,39.7,1000,468.4,53.166270432801,-6.54633437397654,27.9,dublin_area
dc26,10.0.0.27,2025-08-17 04:06:06,40.81,58.2,1000,510.5,53.26989240223142,-6.719490631066555,31.78,dublin_area
dc27,10.0.0.28,2025-08-17 04:06:06,47.75,69.3,1000,504.9,53.19371260570797,-5.890500079265825,30.1,dublin_area
dc28,10.0.0.29,2025-08-17 04:06:06,44.6,66.0,1000,536.6,53.82553565932926,-6.5803913697892735,56.96,dublin_area
dc29,10.0.0.30,2025-08-17 04:06:06,12.08,49.0,1000,468.2,53.415246839917415,-6.731261014654935,32.07,dublin_area
dc30,10.0.0.31,2025-08-17 04:06:06,35.89,35.5,1000,539.9,53.536638727552436,-6.256761215340637,20.78,dublin_area
dc31,10.0.0.32,2025-08-17 04:06:06,27.66,51.0,1000,493.6,53.822591288740895,-6.729234927211082,61.01,dublin_area
